datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,mad garlic,milk tea,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade
11-08-2019 11.58,Sun,27900,,3,1,,,,,,,,,,,1,,,
11-08-2019 12.58,Sun,15800,,1,,,,,1,,,,1,,,,,,
11-08-2019 13.14,Sun,19300,,1,,,,,,,,,1,,,,,,1
11-08-2019 13.21,Sun,23100,,2,,,,,,,,,1,,,,1,,
11-08-2019 13.27,Sun,17300,,1,,,,,1,,,,,,,,1,,
12-08-2019 11.05,Mon,28400,,2,,,,1,,,,,,,,,1,,
12-08-2019 11.08,Mon,20800,,1,,,,1,,1,,,,,,,,,
12-08-2019 11.48,Mon,16300,,1,1,,,1,,,,,,,,,1,,
12-08-2019 12.39,Mon,24300,효자 3동,1,2,,,3,,,,,,,,,,,
12-08-2019 12.41,Mon,15800,효자 3동,1,,,,,,,,,1,,,1,,,
12-08-2019 12.48,Mon,14800,후평 1동,1,,,,,1,,,,,,,,,,
12-08-2019 12.53,Mon,16300,후평 1동,1,,,,,,,,,,,,,2,,
12-08-2019 13.27,Mon,18300,후평 2동,1,1,,,,,,,,,,,,,,
12-08-2019 13.56,Mon,19100,석사동,2,,,1,1,,,,,,,,,,,
12-08-2019 14.08,Mon,32100,후평 1동,1,,,2,,,,,,1,,,,,1,
12-08-2019 15.01,Mon,26000,소양동,5,,,,,,,,,,,,,,,
14-08-2019 11.03,Wed,41200,퇴계동,4,1,1,,2,,,,,1,,,,,,
14-08-2019 11.03,Wed,17800,동면,1,1,1,,1,,,,,,,,,1,,
14-08-2019 11.04,Wed,18300,효자 3동,1,,,,,,,,,1,,,,1,,
14-08-2019 11.07,Wed,17300,동면,1,,,,1,,,,,,,,,1,,
14-08-2019 11.16,Wed,65600,퇴계동,6,1,,,,,1,,,2,,,,,,
14-08-2019 11.22,Wed,29000,동면,,,,1,3,,,,,,,,,,1,
14-08-2019 11.25,Wed,27300,후평 1동,1,1,1,1,1,,,,,,,1,,,,
14-08-2019 11.31,Wed,22300,석사동,1,1,,,1,,,,,,,,,,,
14-08-2019 11.41,Wed,14300,동면,1,,,1,1,,,,,,,,,,,
14-08-2019 12.15,Wed,16400,후평 3동,3,,,,,,,,,,,,,,,
15-08-2019 11.03,Thur,24100,후평 3동,2,1,,,,1,1,,,,,,,,,
15-08-2019 11.06,Thur,17300,석사동,1,1,,,,,1,,,,,,,1,,
15-08-2019 11.15,Thur,16100,신사우동,2,,,,1,,,,,,,,,,,
15-08-2019 11.23,Thur,22100,강남동,2,1,,,1,,,,,,,,,,,
15-08-2019 11.49,Thur,15100,강남동,1,,,,,,,,,,,,1,,,
15-08-2019 11.50,Thur,58000,강남동,,,,,16,,,,,,,,,,,
15-08-2019 11.53,Thur,15000,후평 2동,,,,1,,,,,,,,,1,,1,
15-08-2019 12.00,Thur,18900,효자 1동,2,,,,,,,,,,,,,,,
15-08-2019 12.18,Thur,16400,동면,3,,,,,,,,,,,,,,,
16-08-2019 11.05,Fri,14800,후평 2동,1,,,,1,,,,,1,,,,,,
16-08-2019 11.54,Fri,17800,조운동,1,,,,,,1,,,,,,,1,,
16-08-2019 11.54,Fri,15100,퇴계동,1,,,,,,,,,,,,,,,
16-08-2019 12.07,Fri,14100,교동,2,,,,,,,,,,,,,1,,
16-08-2019 12.49,Fri,18300,신사우동,1,1,,,,,,,,,,,,1,,1
16-08-2019 13.27,Fri,15800,동면,1,,,,,,,,,,,,1,,,
17-08-2019 11.01,Sat,20100,동면,2,1,1,,,,,,,,,,,,,
17-08-2019 11.03,Sat,18300,소양동,1,,,,1,1,,,,,,,,,,
17-08-2019 11.17,Sat,24100,소양동,2,,,,,,,,,,,,,,,
17-08-2019 11.30,Sat,24300,동면,1,,,1,,,1,,,1,,,1,,,
17-08-2019 12.29,Sat,14800,동면,1,1,,,,,1,,,,,,,,,
